Arabic Word,English Translation
For a bathroom,لحمام
Know,إعلم
Rebels,المتمردون
u200fthis,u200fهذا
Perverted,المنحرفة
Roo,روو
Milner,ميلنر
Alone,وحدكم
I was,كنتٌ
And you bring,وتجلب
For baseball,للبيسبول
Lisa,لايزا
The hill,التلّ
You apologize,تعتذرين
cloning,استنساخ
Be patient,صبورين
Transactions,معاملات
Volvo,فولفو
Our thinking,تفكيرنا
And very much,وجدا
His side,ناحيه
Manaf,مناف
You saved me,انقذتني
Your retirement,تقاعدك
I buy it,أشتريها
Reader,قارئة
To challenge,لتحدي
He waits,يَنتظرُ
What is meant?,المراد
We want you,نريدكِ
Intelligence,الأستخبارات
find out,إكتشفَ
diarrhea,الإسهال
Diggle,ديجل
He reads it,يقرأه
Turn,تدر
Flattery,التملق
Cancellation,الإلغاء
The little one,الصّغيرة
She led me,قادتني
I came out,اطلعت
Lucius,لوسيوس
Beatrice,بيتريس
I was saved,أنقذتُ
Midge,ميدج
To reserve,لحجز
Bosco,بوسكو
Our meeting,لقاءنا
It is,انـه
They are used to it,معتادين
So I will say,فسأقول
Our brains,أدمغتنا
Armstrong,أرمسترونج
He breathes,يتنفّس
For wine,للنبيذ
To hear it,لسماعها
Seasons,مواسم
Do you want us?,أتريدنا
With advice,بنصيحة
docked,رست
Doctor,دكتـور
He knew me,عرفني
happiness,سعاده
By deception,بالخداع
By advertising,بالإعلان
You will watch,ستشاهد
The wonderful ones,الرائعون
Your team,فريقكم
I cheat,أغش
I registered,سجّلت
Crenshaw,كرينشو
Gertrude,جيرترود
You arrive,تَصِلُ
Erica,ايريكا
Their identities,هوياتهم
For the writer,للكاتب
The lookalike,الشبيه
He intends,ينوى
pod,جراب
Terrorist,ارهابية
Losers,خاسرون
Fascinated,مفتونة
Catalyst,المحفز
u200fof,u200fمن
Your dinner,عشاءك
To deceive,للخداع
written,كتابى
Your painting,لوحتك
To demonstrate,للتظاهر
Save it,حفظه
You're hanging out,تتسكعين
kebab,كباب
You chose,اخترتي
He wears,يَلْبسُ
Suspicious,المشبوهة
Bills,بيلز
False,كاذبا
Stop,توقفن
Secure it,تأمينه
In trouble,بمأزق
Audrey,أودرى
Bear with it,تتحملي
Supplies,لوازم
To disable,لتعطيل
To launch,لأطلاق
Lovers,المحبين
You fear,تخشي
Archie,أرشي
Make it easy,تسهل
And I love you,وأحبك
outlet,منفّذ
Like family,كالعائلة
Take it,تتخذي
physically,مادياً
Welcome,مرحباُ
Return them,أعدهم
Your input,إدخالك
smell,اشتم
Photography,الفوتوغرافي
Ash,أش
You wonder,تتساءلين
heiress,وريثة
And he killed her,وقتلها
Icy,جليدية
I trust,أثقُ
With laser,بالليزر
The fighters,المقاتلون
National,ناشيونال
Mayfair,مايفير
You continue,تكملي
Margery,مارجري
Sex,الجنسِ
Adultery,زنا
Vase,زهرية
exclude,أستبعد
intentionally,عمدًا
I depend,إعتمد
They made you,جعلوك
Finish it,أنهيها
Hard,عصيبا
And it exists,وتوجد
Hurt,تأذي
Just in case,للإحتياط
It arrived,وصلتَ
Tell me,اخبرونى
Forbes,فوربز
By influence,بالتأثير
Your plan,خطّتك
You take a risk,تخاطرين
Peru,البيرو
I will receive,سأتلقى
You regret it,تندمي
I went,ذَهبتْ
He says,يقـول
Girls,الفتيـات
We mean,نعني
Impotence,العنة
Hugging,معانقة
I sat down,جلستُ
Nice to meet you,تشرّفت
He sold it,باعها
Researchers,الباحثون
I relate,أرتبط
Biman,بيمان
My brother,ياأخي
shame,عارٍ
They are known,معروفون
They take over,يتولون
Merge,تندمج
By memory,بالذاكرة
They continue,يستمروا
Taryn,تارين
Evaluate,بتقييم
I make you angry,أغضبك
Our accounts,حساباتنا
woman,المراه
drugs,مُخدرات
one hundred,مئه
Boring,مملين
Your residence,مسكنك
Andersen,أندرسن
The healthy one,الصحى
sensation,ضجّة
He hid,اختبأ
Tablets,اقراص
You wait,تنتظروا
Choose it,إختياره
Honored,تشرف
You want me?,تريدونني
fondness,ولع
Disclose,تفصح
Rinaldo,رينالدو
For his own good,لمصلحته
Capture them,أسرهم
conscious,واعٍ
Horrible,مروعا
Midnight,ميدنايت
You lost,وضعتم
The stable,الاسطبل
Italian,الايطالي
Its success,نجاحها
Our happiness,سعادتنا
audio,سمعي
Emerson,إيمرسون
With a husband,بزوج
And you will,وستفعل
The cleaner,المنظف
Make way,افسح
Invents,يخترع
By betraying you,بخيانتك
Documented,مستندة
Multiplied,مضروب
Military,عسكريه
Needs,إحتياجات
I will give them,سأعطيهم
In halves,لنصفين
Pack,احزمي
To allow,لتسمح
I woke up,صحوت
Javi,جافي
To make,لأصنع
counter,التصدي
I want you,أُريدكِ
selfish,اناني
Betting,مراهنات
And Jack,وجاك
And have fun,والمتعة
Helper,مساعدا
You put them,تضعهم
We struggle,نكافح
For analysis,للتحليل
For Japan,لليابان
Our voices,أصواتنا
Redhead,الصهباء
Prosperous,مزدهرة
My path,دربي
I will come back,سأعودُ
Our friends,أصدقاءنا
The prowler,المتسكع
They attacked us,هاجمونا
We live it,نعيشها
Your manhood,رجولتك
I hated it,كرهتها
I will care,سأهتمّ
And easy,وسهلة
Gaius,غايوس
Oh my God!,ربـّاه
Weeks,أسابيعِ
to request,طَلبَ
Enter it,إدخالها
The upper one,العلويّ
Discrimination,التفرقة
prize,جائزه
I renew,أجدد
Exactly,مضبوطة
Grilled,مشوية
Teenagers,المراهقون
Tastier,ألذ
wear,إرتدى
Emergency,طاريء
He stumbles,يُعثر
Beginners,مبتدئين
Jabba,جابا
I will open it,سأفتحه
My sword,سيفى
Dosen,دوسن
I complain,أشكو
To make us,لجعلنا
To win,لربح
calculated,محسوب
Iqbal,إقبال
They fought,حاربوا
I speak,أَتكلّمَ
پٹ,ظƒظٹ
call,مُكالمة
Symposium,الندوة
The shop,الدكان
And I give,وأعطي
We spent it,قضيناه
Do you work?,أتعملين
You will reap,ستجني
a reason,سببَ
Towards you,تجاهكِ
You deserve it,تستحقينه
He stays,يَبقي
Trees,اشجار
For nudity,للتعري
dawn,فجّر
Kinetic,الحركي
I follow,اتابع
By taking you out,بإخراجك
Escalation,تصعيد
Creative,مبدعة
By suicide,بالانتحار
He can,يمكنـه
Americans,أمريكيون
A way,طريقًا
Marijuana,ماريجوانا
.in order to,.لكي
To sit down,ليجلس
For the director,للمخرج
We race,نتسابق
My legs,ساقاي
supports,يؤيد
Families,عوائل
I assumed,أفترضت
His skin,بشرته
The main ones,الرئيسيين
Ways,سبل
But you,ولكنّكَ
She looks like her,تشبهها
To finish,لتنهي
The nationalist,القوميّ
Show me,أرينى
We had to,إضطررنا
My mother,أمــي
You refuse,ترفضي
By restoring,باستعادة
Female workers,العاملات
Colon,كولون
Your wounds,جروحك
completely,تمامآ
Fertile,خصبة
bacteria,جراثيم
In pursuit,سعياً
Penetratingly,بإختراق
Metatron,ميتاترون
escape,فرار
Some,البعضِ
Work,اشغل
I'm talking,أتحـدث
Compact,المدمجة
Your Highness,سموّك
Sublime,سامية
Both of you,كلتاكما
I'm hanging out,اتسكع
Temporary,مؤقته
And another,وأخر
Siena,سيينا
Flattened,بالارض
Dyke,دايك
In theatre,بالمسرح
He wants it,يُريده
Archer,آرشر
In white,بالأبيض
Our asses,مؤخراتنا
And it makes me,ويجعلني
Guarantees,الضمانات
He trains,يدرب
Our language,لغتنا
Nickel,نيكل
dog,الكلبِ
We make mistakes,نخطئ
Persian,فارسي
Having fun,تلهو
You will see me,ستراني
Coloring,التلوين
It causes it,يسببه
He will deal,سيتعامل
You know,تتعرفين
His strength,قوّته
Searching,تبحثُ
explosion,أنفجار
I'm chasing,ألاحق
I discussed,ناقشت
His muscles,عضلاته
For the curious,للفضول
A customer,زبوناً
Rana,رنا
Your girls,فتياتك
By accident,بالحادث
Make it,إجعليه
Affection,المودة
His steps,خطواته
texture,ملمس
I prepared it,أعددته
Your club,ناديك
He will hear,سيسمع
dangers,أخطار
Guatemala,غواتيمالا
Register,سجلوا
I show you,أُريك
Excellence,التميز
house,بيتَ
Our process,عمليتنا
I am baptized,أتعمد
Electronically,إلكترونياً
people,ناسَ
I was raped,اغتصبت
He takes refuge,يلجأ
Nobu,نوبو
City,سيتى
Right,صائبًا
Pawn,باون
Night,اليل
You did well,أبليتِ
You took,أَخذتَ
Hunters,الصيّادين
El Salvador,السلفادور
Bring you,إحضارك
Your help,عونك
Jurors,المحلفون
And make it,وأجعله
It will rise,سترتفع
Theaters,المسارح
I deserve it,أستحقها
They will look,سيبدوا
You wake up,تصحو
By getting closer,بالاقتراب
To repair,لتصليح
Help me,تساعدوني
Her company,شركتها
We lose it,نفقدها
legitimate,شرعى
Get you out,اخراجك
As an order,كأمر
Behind them,وراءهم
Do you believe?,أتؤمن
Dobbs,دوبز
Ramiro,راميرو
returns,عائدات
To give birth,للولادة
Kiba,كيبا
You will make it,ستجعلها
She says,تقولُ
chandelier,ثريا
In memory,بذكرى
Are you still?,أمازلتِ
It will shine,ستشرق
His residence,إقامته
With stories,بالقصص
Grant him,يمنحه
Kermit,كيرميت
They understood,فهموا
Translate,تترجم
And loss,وفقدان
And treatment,والعلاج
I would have been,لكنتَ
It makes me happy,يسعدنى
His survival,بقائه
Your shield,درعك
Evil,شريرا
He hurt me,آذاني
coincidence,مُصادفة
Like fools,كالحمقى
Winslow,وينسلو
Intravenous,الوريدي
likely,مرجح
Ritter,ريتر
Fans,مشجعين
Follow him,اتبعه
By making it,بجعله
We explain,نشرح
Ph.D,الدكتوراة
And stand up,وقوموا
deviation,الإنحراف
The branch,الغصن
Next to us,بجوارنا
My ammo,ذخيرتي
You like it,يعجبكم
He will travel,سيسافر
Sacramento,ساكرامنتو
It is torn apart,يتمزق
Frequent,المتكرر
It haunted me,انتابني
doubting,مرتاب
Increasing,يتزايد
It relaxes you,يريحك
Buried,مدفوناً
And it is,وإنّها
Feisty,مشاكس
The city,المدينـة
Dances,رقصات
Get lost,تضيّع
Your mercy,رحمك
Commander,الآمِر
It is requested,يُطلب
Collection,التشكيلة
With proof,بإثبات
And blood,والدماء
Lightly,خفيفاً
Our rule,حكمنا
We are,نـحـن
For a baby girl,لطفلة
He gave me,اعطانى
I tried it,جربته
Baker,بايكر
Treat me,تعامليني
You wear out,تُبلي
Hamilton,هاملتن
time,مرّةٍ
Weight,وزنا
Horton,هورتون
Can you both?,أيمكنكما
Environmental,بيئية
Hatfield,هاتفيلد
Balance,الرصيد
Support me,تدعمني
Realtor,السمسار
To meet her,لمقابلتها
Allowed,مسموحٌ
To her father,لوالدها
beans,فاصوليا
Sticky,اللزجة
relative,نسبي
You received,تلقيتِ
Really,بحقِ
By shopping,بالتسوق
For love,لحب
The pearl,اللؤلؤة
.You could,.يمكنك
Petition,إلتماس
Diesel,الديزل
For God's sake,بربّكم
Offended,أسيء
Decrees,مراسيم
The two idiots,الأحمقان
Hawaii,هاواى
sympathy,عطف
Your cat,قطتك
I will cook,سأطبخ
your news,أخباركِ
Alternative,بديلا
Face us,واجهتنا
Rationality,العقلانية
You are waiting for him,تنتظرينه
It took me,استغرقني
It will be considered,سيعتبر
You disagree,تخالف
He makes you laugh,يضحكك
My relatives,أقاربي
Boomerang,يرتد
move,تحركِ
Warning,تحذيرية
Before,قـبل
My sins,خطاياي
For our children,لأطفالنا
Cassandra,كاسندرا
Turn it on,بتشغيلها
Callisto,كاليستو
Shout,الصرخة
I live it,أعيشها
neighbor,جاره
For the plaintiff,للمدعي
With movements,بحركات
Food,مأكولات
Their weakness,ضعفهم
Systems,النظم
Imprisonment,سجناً
Your problem,مشكلتكَ
Our bed,سريرنا
It shocked me,صدمني
Beliefs,المعتقدات
The most severe,الأشد
Innovative,مبتكرة
to receive,تسلّم
We climb,نتسلق
Garage,جراج
good,جيّدٌ
Let's raise,لنرفع
It is necessary,يتوجبُ
Elections,الأنتخابات
For your words,لألفاظك
The massacre,المجزرة
By computer,بالكمبيوتر
In the middle,بالمنتصف
To be,لتكونوا
Badges,الشارات
Hated,مكروهاً
Local,المحليه
Baudelaire,بودلير
free,حُر
Garfield,غارفيلد
With youth,بالشباب
Anders,أندرس
Imagine it,تصورها
So,لـذلك
I promise you,وأعدكم
Conspiracies,المؤامرات
And face,ووجه
Billionaire,ملياردير
Term,الترم
The last one,آخرها
Getting closer,الأقتراب
I was baptized,تعمدت
Bosnia,البوسنة
The throat,الحلقــ
I breathe,اتنفس
He brings it,يحضره
Unhappy,تعيساً
An opinion,رأياً
Find us,إيجادنا
Two stars,نجمتين
punish him,معاقبته
Pride,برايد
cast,يُلقي
You fall,تسقطين
Curly,المجعد
For intelligence,للإستخبارات
I'm peeing,أتبوّل
Slippery,زلقة
And her mother,وأمها
hairdo,تسريحه
Legally,شرعياً
Dinner,العشـاء
And stumble,واعثر
And in it,وفيها
Clowns,المهرجون
With my arm,بذراعي
By telling him,بإخباره
Rugged,وعرة
History,تاريخاً
Machine guns,رشاشات
The answer,الإجابه
Face me,تواجهي
permission,إذنْ
Refrain,الامتناع
Consistent,متناسقة
Fiercely,بضراوة
Come here,تعاليّ
Cows,أبقار
I got mixed up,اختلطت
Enter you,أدخلك
And one day,ويوماً
I built it,بنيتها
To deal,لأتعامل
Disgusted,بالاشمئزاز
Thank you,يشكرك
With your friends,بأصدقائك
Her word,كلمتها
And ladies,والسيدات
We'll leave it,سنتركه
And watch,وشاهدي
Your requests,طلباتك
Categories,فئات
We moved away,ابتعدنا
Hurting you,إيذاءك
With thanks,بالشكر
