Arabic Word,English Translation
لتنهي,To finish
القوميّ,The nationalist
أرينى,Show me
إضطررنا,We had to
أمــي,My mother
ترفضي,You refuse
باستعادة,By restoring
حاولو,Try it
العاملات,Female workers
الأصحاب,Friends
كولون,Colon
جروحك,Your wounds
تمامآ,completely
خصبة,Fertile
جراثيم,bacteria
سعياً,In pursuit
بإختراق,Penetratingly
ميتاترون,Metatron
فرار,escape
البعضِ,Some
اشغل,Work
أتحـدث,I'm talking
المدمجة,Compact
سموّك,Your Highness
سامية,Sublime
كلتاكما,Both of you
اتسكع,I'm hanging out
مؤقته,Temporary
وأخر,And another
سيينا,Siena
بالارض,Flattened
دايك,Dyke
بالمسرح,In theatre
يُريده,He wants it
آرشر,Archer
بالأبيض,In white
مؤخراتنا,Our asses
ويجعلني,And it makes me
الضمانات,Guarantees
يدرب,He trains
لغتنا,Our language
نيكل,Nickel
الكلبِ,dog
نخطئ,We make mistakes
فارسي,Persian
تلهو,Having fun
ستراني,You will see me
التلوين,Coloring
يسببه,It causes it
سيتعامل,He will deal
تتعرفين,You know
قوّته,His strength
تبحثُ,Searching
أنفجار,explosion
ألاحق,I'm chasing
ناقشت,I discussed
عضلاته,His muscles
للفضول,For the curious
زبوناً,A customer
رنا,Rana
فتياتك,Your girls
بالحادث,By accident
إجعليه,Make it
المودة,Affection
خطواته,His steps
ملمس,texture
أعددته,I prepared it
ناديك,Your club
مواسم,Seasons
سيسمع,He will hear
أخطار,dangers
غواتيمالا,Guatemala
سجلوا,Register
أُريك,I show you
اللحظةِ,The moment
التميز,Excellence
بيتَ,house
عمليتنا,Our process
أتعمد,I am baptized
إلكترونياً,Electronically
ناسَ,people
اغتصبت,I was raped
يلجأ,He takes refuge
نوبو,Nobu
سيتى,City
صائبًا,Right
باون,Pawn
اليل,Night
أبليتِ,You did well
أَخذتَ,You took
الصيّادين,Hunters
السلفادور,El Salvador
إحضارك,Bring you
عونك,Your help
المحلفون,Jurors
وأجعله,And make it
سترتفع,It will rise
المسارح,Theaters
أستحقها,I deserve it
سيبدوا,They will look
تصحو,You wake up
بالاقتراب,By getting closer
لتصليح,To repair
تساعدوني,Help me
شركتها,Her company
نفقدها,We lose it
شرعى,legitimate
اخراجك,Get you out
كأمر,As an order
وراءهم,Behind them
أتؤمن,Do you believe?
دوبز,Dobbs
راميرو,Ramiro
عائدات,returns
للولادة,To give birth
كيبا,Kiba
ستجعلها,You will make it
تقولُ,She says
ثريا,chandelier
بذكرى,In memory
أمازلتِ,Are you still?
ستشرق,It will shine
إقامته,His residence
بالقصص,With stories
يمنحه,Grant him
كيرميت,Kermit
فهموا,They understood
تترجم,Translate
وفقدان,And loss
والعلاج,And treatment
لكنتَ,I would have been
يسعدنى,It makes me happy
بقائه,His survival
درعك,Your shield
شريرا,Evil
آذاني,He hurt me
مُصادفة,coincidence
كالحمقى,Like fools
وينسلو,Winslow
الوريدي,Intravenous
مرجح,likely
ريتر,Ritter
مشجعين,Fans
اتبعه,Follow him
بجعله,By making it
نشرح,We explain
الدكتوراة,Ph.D
وقوموا,And stand up
الإنحراف,deviation
الغصن,The branch
بجوارنا,Next to us
ذخيرتي,My ammo
يعجبكم,You like it
سيسافر,He will travel
ساكرامنتو,Sacramento
يتمزق,It is torn apart
المتكرر,Frequent
انتابني,It haunted me
مرتاب,doubting
يتزايد,Increasing
يريحك,It relaxes you
مدفوناً,Buried
وإنّها,And it is
مشاكس,Feisty
المدينـة,The city
رقصات,Dances
تضيّع,Get lost
رحمك,Your mercy
الآمِر,Commander
يُطلب,It is requested
التشكيلة,Collection
بإثبات,With proof
والدماء,And blood
خفيفاً,Lightly
حكمنا,Our rule
نـحـن,We are
لطفلة,For a baby girl
اعطانى,He gave me
جربته,I tried it
بايكر,Baker
تعامليني,Treat me
تُبلي,You wear out
هاملتن,Hamilton
مرّةٍ,time
وزنا,Weight
هورتون,Horton
أيمكنكما,Can you both?
بيئية,Environmental
هاتفيلد,Hatfield
الرصيد,Balance
تدعمني,Support me
السمسار,Realtor
لمقابلتها,To meet her
مسموحٌ,Allowed
لوالدها,To her father
فاصوليا,beans
اللزجة,Sticky
نسبي,relative
تلقيتِ,You received
بحقِ,Really
بالتسوق,By shopping
لحب,For love
اللؤلؤة,The pearl
.يمكنك,.You could
إلتماس,Petition
الديزل,Diesel
بربّكم,For God's sake
أسيء,Offended
مراسيم,Decrees
الأحمقان,The two idiots
هاواى,Hawaii
عطف,sympathy
قطتك,Your cat
سأطبخ,I will cook
أخباركِ,your news
بديلا,Alternative
واجهتنا,Face us
العقلانية,Rationality
تنتظرينه,You are waiting for him
استغرقني,It took me
سيعتبر,It will be considered
تخالف,You disagree
سأخلع,I'll take off
يضحكك,He makes you laugh
أقاربي,My relatives
يرتد,Boomerang
تحركِ,move
تحذيرية,Warning
قـبل,Before
خطاياي,My sins
لأطفالنا,For our children
كاسندرا,Cassandra
بتشغيلها,Turn it on
كاليستو,Callisto
الصرخة,Shout
أعيشها,I live it
جاره,neighbor
للمدعي,For the plaintiff
بحركات,With movements
مأكولات,Food
ضعفهم,Their weakness
النظم,Systems
سجناً,Imprisonment
مشكلتكَ,Your problem
سريرنا,Our bed
صدمني,It shocked me
المعتقدات,Beliefs
الأشد,The most severe
مبتكرة,Innovative
تسلّم,to receive
نتسلق,We climb
جراج,Garage
جيّدٌ,good
لنرفع,Let's raise
يتوجبُ,It is necessary
الأنتخابات,Elections
لألفاظك,For your words
المجزرة,The massacre
بالكمبيوتر,By computer
بالمنتصف,In the middle
لتكونوا,To be
الشارات,Badges
مكروهاً,Hated
المحليه,Local
بودلير,Baudelaire
حُر,free
غارفيلد,Garfield
بالشباب,With youth
أندرس,Anders
تصورها,Imagine it
لـذلك,So
وأعدكم,I promise you
المؤامرات,Conspiracies
ووجه,And face
ملياردير,Billionaire
الترم,Term
آخرها,The last one
توقفن,Stop
الأقتراب,Getting closer
تعمدت,I was baptized
البوسنة,Bosnia
الحلقــ,The throat
اتنفس,I breathe
يحضره,He brings it
تعيساً,Unhappy
رأياً,An opinion
إيجادنا,Find us
نجمتين,Two stars
يخلط,Mix
معاقبته,punish him
برايد,Pride
بريئه,Innocent
يُلقي,cast
تسقطين,You fall
المجعد,Curly
للإستخبارات,For intelligence
أتبوّل,I'm peeing
زلقة,Slippery
وأمها,And her mother
تسريحه,hairdo
شرعياً,Legally
اختنق,suffocate
فضلِك,Please
العشـاء,Dinner
واعثر,And stumble
وفيها,And in it
المهرجون,Clowns
بذراعي,With my arm
بإخباره,By telling him
وعرة,Rugged
تاريخاً,History
رشاشات,Machine guns
الإجابه,The answer
تواجهي,Face me
إذنْ,permission
الامتناع,Refrain
بتواجد,There is
متناسقة,Consistent
بضراوة,Fiercely
تعاليّ,Come here
أبقار,Cows
اختلطت,I got mixed up
أدخلك,Enter you
ويوماً,And one day
بنيتها,I built it
لأتعامل,To deal
بالاشمئزاز,Disgusted
يشكرك,Thank you
بأصدقائك,With your friends
كلمتها,Her word
والسيدات,And ladies
سنتركه,We'll leave it
وشاهدي,And watch
طلباتك,Your requests
فئات,Categories
ابتعدنا,We moved away
إيذاءك,Hurting you
بالشكر,With thanks
